书名,作者,豆瓣评分,简介
Letting Go of the Words,"[美]
            Janice", 8.3 ,"""Redish has done her homework and created a thorough overview of the issues in writing for the Web. Ironically, I must recommend that you read her every word so that you can find out why your customers won't read very many words on your website -- and what to do about it.""-- Jakob Nielsen, Principal, Nielsen Norman Group""There are at least twelve billion web pages out there.  Twelve billion voices talking, but saying mostly nothing.  If just 1% of those pages followed Ginny's practical, clear advice, the world would be a better place.  Fortunately, you can follow her advice for 100% of your own site's pages, so pick up a copy of Letting Go of the Words and start communicating effectively today.""--Lou Rosenfeld, co-author, Information Architecture for the World Wide WebOn the web, whether on the job or at home, we usually want to grab information and use it quickly. We go to the web to get answers to questions or to complete tasks - to gather information, reading only what we need. We are all too busy to read much on the web.This book helps you write successfully for web users. It offers strategy, process, and tactics for creating or revising content for the web. It helps you plan, organize, write, design, and test web content that will make web users come back again and again to your site. Learn how to create usable and useful content for the web from the master − Ginny Redish. Ginny has taught and mentored hundreds of writers, information designers, and content owners in the principles and secrets of creating web information that is easy to scan, easy to read, and easy to use.  This practical, informative book will help anyone creating web content do it better. Features * Clearly-explained guidelines with full color illustrations and examples from actual web sites throughout the book. * Written in easy-to-read style with many ""befores"" and ""afters.""* Specific guidelines for web-based press releases, legal notices, and other documents.* Tips on making web content accessible for people with special needs. Janice (Ginny) Redish  has been helping clients and colleagues communicate clearly for more than 20 years. For the past ten years, her focus has been helping people create usable and useful web sites. She is co-author of two classic books on usability: A Practical Guide to Usability Testing (with Joseph Dumas), and User and Task Analysis for Interface Design (with JoAnn Hackos), and is the recipient of many awards.                                      * Clearly-explained guidelines with full color illustrations and examples from actual web sites throughout the book.* Written in easy-to-read style with many ""befores"" and ""afters.""* Specific guidelines for web-based press releases, legal notices, and other documents. * Tips on making web content accessible for people with special needs."
应需而变,Peter Merholz, 7.5 ,要在当今不断变化、不可预知的市场中获得成功，企业需要重新全面地考虑、架构自己的战略。抛弃从内而外的研发新产品，企业需要开始从外而内地着眼于流程，并且从用户体验开始。这是一种新的思维和工作方式，能够将还在市场环境中挣扎的公司转变为创新的、灵敏的、成功的组织。企业需要形成一系列新的竞争力：定性的用户研究：了解用户行为和动机；开放式设计流程：将新创意转化为优秀用户体验；敏捷的技术实现：快速创建原型，并将它们从白板上转移到能提供反馈的人群中。在本书中，Adaptive Path，领先的体验战略和设计公司，讲述了成功的企业如何通过用户体验来塑造自己的产品研发流程，从头到尾。
重塑用户体验,"[美]
            威尔森", 7.7 ,本书为用户体验过程提供了一种易于传承的导览——从定义用户需求到实际的设计、模型制作以及最终的评估。卓越的用户界面设计并非仅仅与美学有关，也不只是使用最先进的技术——设计师还必须确保他们设计的产品能够提供一种令人意想不到的用户体验。这就需要经历用户需求分析、可用性测试、人物角色创建、原型化、设计草图绘制和最终产品评估的完整过程。本书汲取了YMorgarl Kaufmann出版公司交互技术系列最畅销书中久经考验和最可信赖的精华部分，并以一种典型的项目结构展现给大家。ChaunceyWilsorl带领每位读者穿越各个章节，引领每一阶段，解释其中的情境，着重阐述它们在用户体验生命周期中的重要意义，为读者提供了创建有用、易用和人们实际想用的网页与网站的实用操作指南。
,,,
UCD火花集2,UCDChina, 7.0 ,本书收集了UCDChina第一本博客集出版之后的两年间，UCDChina收录的、更广泛范围的文章，内容涵盖了互联网产品设计的方方面面。第1～6章，讨论了职业的分工、通用的设计方法和原则；第5～16章，热议了互联网上常见的功能、服务和应用，如排序、评论和评价、屏幕分辨率和布局等，同时也讨论了部分具体的产品形态，如微博、群组、邮箱、地图、相册、电子商务等。第17章，仍然是大家喜闻乐见的UED故事，毕竟生活无处不体验。第18章，收录了UCDChina这两届年会中所分享的一些实例和实践者的观点。本书适合有一定工作经验，从事产品设计、产品策划、交互设计、视觉设计、用户研究、前端开发、网站运营以及所有与互联网相关的从业人员阅读。
,,,
Understanding Your Users,Catherine Courage, 8.1 ,"Today many companies are employing a user-centered design (UCD) process, but for most companies, usability begins and ends with the usability test.  Although usability testing is a critical part of an effective user-centered life cycle, it is only one component of the UCD process.  This book is focused on the requirements gathering stage, which often receives less attention tha..."
一目了然,Robert Hoekman, 7.7 ,《一目了然Web软件显性设计之路》通过深入浅出地讲解与丰富的实际案例，帮助读者理解、掌握显性设计的精髓，可轻松熟练地设计出简单易用的基于Web的软件。.我们的用户在众多的竞争中选择了我们基于Web的软件，并投入了他们的金钱和宝贵的时间。作为回报，他们希望能满足需求并推动工作而不感到乏味。事实上，用户应该在离开电脑时仍能感到系统会有效、自觉、敏捷地运转!..幸运的是，这一切都是可能的，而且并不复杂。我们只需要从显性设计起步，做到以下几点：·提供用户所需。·让初级用户迅速转变为中级用户。·尽可能地防止出错，如出错也应友善处理。·精简和优化交互与任务流程，让最复杂的软件也能变得清晰可理解。·为支持特定行为而设计。·持续优化我们的流程与程序。
随心所欲,Stephen Wendel, 6.7 ,一大批新产品正在帮助人们改变他们的日常行为和做事方式，这其中包括让人多锻炼(Jawbone Up)、管理个人资金(HelloWallet)，亦或是整理邮箱(Mailbox)的产品。这本实用指导书籍将为你讲解如何通过设计不同类型的产品来帮助用户寻找合适的行动方式完成目标。作为 HelloWallet 的首席研究员，Stephen Wendel 将通过一步一步的指导，为你讲解如何运用行为经济学和心理学来解决产品设计和开发的实际问题。通过使用精益敏捷的开发组合模式，你将学习到简单的迭代方法来明确目标用户和行为、构建产品，以及测量效力。发现如何通过创建易于使用的产品来帮助用户达成积极有效的改变。
,,,
Neural Networks for Pattern Recognition,Christopher M·Bishop, 8.8 ,"This book provides the first comprehensive treatment of feed-forward neural networks from the perspective of statistical pattern recognition.  After introducing the basic concepts of pattern recognition, the book describes techniques for modelling probability density functions, and discusses the properties and relative merits of the multi-layer perceptron and radial basis funct..."
MATLAB神经网络30个案例分析,MATLAB中文论坛, 7.8 ,本书是MATLAB中文论坛神经网络版块数千个帖子的总结，充分强调“案例实用性、程序可模仿性”。所有案例均来自于论坛会员的切身需求，保证每一个案例都与实际课题相结合。读者调用案例的时候，只要把案例中的数据换成自己需要处理的数据，即可实现自己想要的网络。如果在实现过程中有任何疑问，可以随时在MATLAB中文论坛与作者交流，作者每天在线，有问必答。该书共有30个MATLAB神经网络的案例(含可运行程序），包括BP、RBF、SVM、SOM、Hopfield、LVQ、Elman、小波等神经网络；还包含PSO(粒子群）、灰色神经网络、模糊网络、概率神经网络、遗传算法优化等内容。该书另有31个配套的教学视频帮助读者更深入地了解神经网络。本书可作为本科毕业设计、研究生项目设计、博士低年级课题设计参考书籍，同时对广大科研人员也有很高的参考价值。-------目录第1章 P神经网络的数据分类——语音特征信号分类第2章 BP神经网络的非线性系统建模——非线性函数拟合第3章 遗传算法优化BP神经网络——非线性函数拟合第4章 神经网络遗传算法函数极值寻优——非线性函数极值寻优第5章 基于BP_Adaboost的强分类器设计——公司财务预警建模第6章 PID神经元网络解耦控制算法——多变量系统控制第7章 RBF网络的回归——非线性函数回归的实现第8章 GRNN的数据预测——基于广义回归神经网络的货运量预测第9章 离散Hopfield神经网络的联想记忆——数字识别第10章 离散Hopfield神经网络的分类——高校科研能力评价第11章 连续Hopfield神经网络的优化——旅行商问题优化计算第12章 SVM的数据分类预测——意大利葡萄酒种类识别第13章 SVM的参数优化——如何更好的提升分类器的性能第14章 SVM的回归预测分析——上证指数开盘指数预测第15章 SVM的信息粒化时序回归预测——上证指数开盘指数变化趋势和变化空间预测第16章 自组织竞争网络在模式分类中的应用——患者癌症发病预测第17章SOM神经网络的数据分类——柴油机故障诊断第18章Elman神经网络的数据预测——电力负荷预测模型研究第19章 概率神经网络的分类预测——基于PNN的变压器故障诊断第20章 神经网络变量筛选——基于BP的神经网络变量筛选第21章 LVQ神经网络的分类——乳腺肿瘤诊断第22章 LVQ神经网络的预测——人脸朝向识别第23章 小波神经网络的时间序列预测——短时交通流量预测第24章 模糊神经网络的预测算法——嘉陵江水质评价第25章 广义神经网络的聚类算法——网络入侵聚类第26章 粒子群优化算法的寻优算法——非线性函数极值寻优第27章 遗传算法优化计算——建模自变量降维第28章 基于灰色神经网络的预测算法研究——订单需求预测第29章 基于Kohonen网络的聚类算法——网络入侵聚类第30章 神经网络GUI的实现——基于GUI的神经网络拟合、模式识别、聚类
神经网络在应用科学和工程中的应用,萨马拉辛荷,  ,《神经网络在应用科学与工程中的应用:从基本原理到复杂的模式识别》为读者提供了神经网络方面简单但却系统的介绍。《神经网络在应用科学和工程中的应用从基本原理到复杂的模式识别》以神经网络在科学数据分析中所扮演角色的介绍性讨论作为开始，给出了神经网络的基本概念。《神经网络在应用科学和工程中的应用从基本原理到复杂的模式识别》首先对用于实际数据分析的神经网络结构进行了综合概述，继而对线性网络进行了大量的介绍，并介绍了所有处理阶段的用于非线性预报和分类的多层感知器。此外，还通过实际例子和个案研究阐述了模型开发技术。后面章节又提出了用于非线性数据聚类的自组织映射、用于线性或非线性时间序列预测的递归网络和适用于科学数据分析的其他类型的网络。《神经网络在应用科学和工程中的应用从基本原理到复杂的模式识别》通过使用广泛的图示和多学科的内容以一种更容易理解的形式，填补了市场上神经网络用于多维科学数据的空白，并将神经网络与统计学联系了起来。国际视野，科技前沿。国际电气工程先进技术译丛，传播国际最新技术成果，搭建电气工程技术平台。《神经网络在应用科学和工程中的应用从基本原理到复杂的模式识别》特点：◆在多学科领域解释了神经网络；◆为了易于理解，使用了大量图例来解释复杂数据概念；◆深入研究了神经网络在线性和非线性预报、分类，聚类和预测方面的应用；◆阐述了模型开发的所有阶段和结果的解释，包括数据预处理，数据维数约简，输入选择，模型开发和验证，模型不确定性评估以及对输入、误差和模型参数的灵敏度分析。
神经网络与深度学习,吴岸城, 6.0 ,"随着AlphaGo与李世石大战的落幕，人工智能成为话题焦点。AlphaGo背后的工作原理""深度学习""也跳入大众的视野。什么是深度学习，什么是神经网络，为何一段程序在精密的围棋大赛中可以大获全胜？人工智终将会取代人类智慧吗？本书结合日常生活中的寻常小事，生动形象地阐述了神经网络与深度学习的基本概念、原理和实践，案例丰富，深入浅出。对于正在进入人工智能时代的我们，这些内容无疑可以帮助我们更好地理解人工智能的原理，丰富我们对人类自身的认识，并启发我们对人机智能之争更深一层的思考与探索。《神经网络与深度学习》是一本介绍神经网络和深度学习算法基本原理及相关实例的书籍，它不是教科书，作者已尽量把公式减少到最少，以适应绝大部分人的阅读基础和知识储备。《神经网络与深度学习》涵盖了神经网络的研究历史、基础原理、深度学习中的自编码器、深度信念网络、卷积神经网络等，这些算法都已在很多行业发挥了价值。《神经网络与深度学习》适合有志于从事深度学习行业的，或想了解深度学习到底是什么的，或是有一定机器学习基础的朋友阅读。"
Neural Networks,Grégoire Montavon,  ,"The twenty last years have been marked by an increase in available data and computing power. In parallel to this trend, the focus of neural network research and the practice of training neural networks has undergone a number of important changes, for example, use of deep learning machines.The second edition of the book augments the first edition with more tricks, which have resulted from 14 years of theory and experimentation by some of the world's most prominent neural network researchers. These tricks can make a substantial difference (in terms of speed, ease of implementation, and accuracy) when it comes to putting algorithms to work on real problems."
神经计算原理,"[美]
            哈姆", 7.4 ,《神经计算原理》比较系统全面地介绍了人工神经网络的理论和实际应用，特别在神经网络模型和工程应用方面有极为深入的分析和讲解。全书不仅深入分析神经网络的基本概念，而且详细介绍神经网络应用方面的最新发展趋势和主要研究方向。《神经计算原理》理论和实际应用紧密结合，为神经网络的相关理论知识在具体问题中的应用打下了坚实的基础。
神经网络与机器学习（原书第3版）,"[加蓬]
            Simon Haykin", 8.4 ,神经网络是计算智能和机器学习的重要分支，在诸多领域都取得了很大的成功。在众多神经网络著作中，影响最为广泛的是Simon Haykin的《神经网络原理》（第3版更名为《神经网络与机器学习》）。在本书中，作者结合近年来神经网络和机器学习的最新进展，从理论和实际应用出发，全面、系统地介绍了神经网络的基本模型、方法和技术，并将神经网络和机器学习有机地结合在一起。本书不但注重对数学分析方法和理论的探讨，而且也非常关注神经网络在模式识别、信号处理以及控制系统等实际工程问题的应用。本书的可读性非常强，作者举重若轻地对神经网络的基本模型和主要学习理论进行了深入探讨和分析，通过大量的试验报告、例题和习题来帮助读者更好地学习神经网络。本版在前一版的基础上进行了广泛修订，提供了神经网络和机器学习这两个越来越重要的学科的最新分析。本书特色：1. 基于随机梯度下降的在线学习算法；小规模和大规模学习问题。2. 核方法，包括支持向量机和表达定理。3. 信息论学习模型，包括连接、独立分量分析（ICA）、一致独立分量分析和信息瓶颈。4. 随机动态规划，包括逼近和神经动态规划。5. 逐次状态估计算法，包括卡尔曼和粒子滤波器。6. 利用逐次状态估计算法训练递归神经网络。7. 富有洞察力的面向计算机的试验。
模式识别与神经网络,里普利, 8.0 ,《模式识别与神经网络(英文版)》是模式识别和神经网络方面的名著，讲述了模式识别所涉及的统计方法、神经网络和机器学习等分支。书的内容从介绍和例子开始，主要涵盖统计决策理论、线性判别分析、弹性判别分析、前馈神经网络、非参数方法、树结构分类、信念网、无监管方法、探寻优良的模式特性等方面的内容。《模式识别与神经网络(英文版)》可作为统计与理工科研究生课程的教材，对模式识别和神经网络领域的研究人员也是极有价值的参考书。
意识的宇宙,"[美]
            杰拉尔德·埃德尔曼", 8.4 ,本书对意识理论进行全面研究，建立在近代神经科学基础上、致力于对意识的产生、及人们对意识的认识如何帮助其“把严格的科学描述与人类知识和经验的宽广领域联系起来”等问题进行解答。
神经网络模型及其MATLAB仿真程序设计,周开利康耀红, 8.2 ,《神经网络模型及其MATLAB仿真程序设计》重点介绍了MATLAB 6.5神经网络工具箱中各种神经网络模型及基本理论，以及各种神经网络模型的MATLAB仿真程序设计方法，提供了MATLAB 6.5中170余种神经网络工具箱函数详解，对图形用户界面、SIMULINK和自定义神经网络等内容也进行了简介。《神经网络模型及其MATLAB仿真程序设计》可作为从事神经网络研究和应用的教师、研究生、高年级本科生和科研人员的参考书。
MATLAB神经网络原理与实例精解,陈明,  ,陈明等编著的《MATLAB神经网络原理与实例精解(附光盘)》结合科研和高校教学的相关课程，全面、系统、详细地介绍了MATLAB神经网络的原理及应用，并给出了大量典型的实例供读者参考。本书附带1张光盘，收录了本书重点内容的配套多媒体教学视频及书中涉及的实例源文件。这些资料可以大大方便读者高效、直观地学习本书内容。    《MATLAB神经网络原理与实例精解(附光盘)》首先简要介绍了MATLAB软件的使用和常用的内置函数，随后分门别类地介绍了BP网络、径向基网络、自组织网络、反馈网络等不同类型的神经网络，并在每章的最后给出了实例。在全书的最后，又以专门的一章收集了MATLAB神经网络在图像、工业、金融、体育等不同领域的具体应用，具有很高的理论和使用价值。全书内容详实、重点突出，从三个层次循序渐进地利用实例讲解网络原理和使用方法，降低了学习门槛，使看似神秘高深的神经网络算法更为简单易学。    本书适合学习神经网络的人员使用MATLAB方便地实现神经网络以解决实际问题，也适合神经网络或机器学习算法的研究者及MATLAB进阶学习者阅读。另外，本书可以作为高校相关课程的教材和教学参考书。
脑的高级功能与神经网络,黄秉宪,  ,本书是一本论述脑的高级功能，如感知、记忆、思维过程的神经网络的专著。全书以建立神经网络模型为主线，介绍了脑的结构、生理及信息处理的基本知识，并在此基础上对记忆和思维过程的原理作了探讨。本书所述内容属边缘学科性质，为便于读者理解，做到了深入浅出，注重论述的系统性。    本书可供脑科学、神经网络及信息技术等相关专业的师生和科研人员参考。
Embodiment and the Inner Life,Murray Shanahan,  ,"To understand the mind and its place in Nature is one of the great intellectual challenges of our time, a challenge that is both scientific and philosophical. How does cognition influence an animal's behaviour? What are its neural underpinnings? How is the inner life of a human being constituted? What are the neural underpinnings of the conscious condition? Embodiment and the I..."
,,,
Matlab神经网络与应用,董长虹, 7.1 ,Matlab语言是Mathworks公司推出的一套高性能计算机编程语言，集数学计算、图形显示、语言设计于一体，其强大的扩展功能为用户提供了广阔的应用空间。它附带有30多个工具箱，神经网络工具箱就是其中之一。 本书是在Matlab 6.5的神经网络工具箱v4.0.2基础上编写的，在M-book数据图形文字环境下以图文并茂的形式循序渐进的介绍了Matlab神经网络工具箱的原理和应用。全书共分11章，首先就各类型神经网络的结构模型、设计、训练等加以描述，并辅以大量的应用实例演示，然后介绍了神经网络图形用户界面，以及如何在Simulink环境下景象网络设计，最后提供了自定义神经网络的方法。    本书内容广泛，实例丰富，可作为高等学校计算机、电子工程、控制工程、应用力学、信息科学、数学、机械工程等专业师生的参考资料，也可作为从事这些领域工作的广大科技人员的参考用书。
神经网络理论与MATLAB R2007实现,葛哲学, 7.9 ,《神经网络理论与MATLAB R2007实现》是“MATLAB应用技术”系列丛书之一，以最新推出的MATLAB 7中的神经网络工具箱4.0.3版本为基础。《神经网络理论与MATLAB R2007实现》前两章介绍了MATLAB 7和神经网络的基础知识，对神经网络工具箱的重要函数分门别类地进行了详细介绍，并给出了完整的示例。从第3章到第5章，分别介绍了几种比较重要的神经网络类型，包括感知器、线性网络和BP网络等，并介绍了这些网络的结构及学习算法，以及MATLAB的实现方法。第6章介绍了神经网络的图形用户界面。后5章分别讲述了如何利用神经网络工具箱解决控制、故障诊断、预测和有源消声等应用领域中的实际问题。
神经网络,"[印度]
            Satish Kumar", 7.6 ,本书从理论和实际应用出发，全面系统地介绍神经网络的基本模型、基本方法和基本技术，涵盖了神经系统科学、统计模式识别、支撑向量机、模糊系统、软件计算与动态系统等内容。本书对神经网络的各种基本模型做了深入研究，对神经网络的最新发展趋势和主要研究方向也都进行了全面而综合的介绍，每章都包含大量例题、习题，对所有模型不仅给出了实际的应用示例，还提供了详细的MATHLAB代码，是一本很好的神经网络教材。    本书适合作为相关专业研究生或本科高年级学生的教材，也是神经网络的科研人员的参考书。
,,,
高效程序的奥秘,沃瑞恩, 8.4 ,本书适合程序库、编译器开发者及追求优美程序设计的人员阅读，适合用作计算机专业高年级学生及研究生的参考用书。　　本书直观明了地讲述了计算机算术的更深层次的、更隐秘的技术，汇集了各种编辑的小技巧，包括常购的任务的小算法，2的幂边界和边界检测、位和字节的重排列、整数除法和常量除法、针对整数的基涵义，空间填充曲线、素数公式等。
Head First Python（中文版）,"[法]
            巴里", 7.9 ,你想过可以通过一本书就学会Python吗？《Head First Python(中文版)》超越枯燥的语法和甩法手册，通过一种独特的方法教你学习这种语言。你会迅速掌握Python的基础知识，然后转向持久存储、异常处理、Web开发、SQLite、数据加工和lGoogle App Engine。你还将学习如何为Android编写移动应用，这都要归功于Python为你赋予的强大能力。本书会提供充分并且完备的学习体验，帮助你成为一名真正的Python程序员。    作者巴里觉得你的时间相当宝贵，不应当过多地花费在与新概念的纠缠之中。通过应用认知科学和学习理论的最新研究成果，《Head First Python(中文版)》可以让你投入一个需要多感官参与的学习体验，这本书采用丰富直观的形式使你的大脑真正开动起来，而不是长篇累牍地说教，让你昏昏欲睡。
Effective java 中文版（第2版）,"[美]
            Joshua Bloch", 9.1 ,本书介绍了在Java编程中78条极具实用价值的经验规则，这些经验规则涵盖了大多数开发人员每天所面临的问题的解决方案。通过对Java平台设计专家所使用的技术的全面描述，揭示了应该做什么，不应该做什么才能产生清晰、健壮和高效的代码。本书中的每条规则都以简短、独立的小文章形式出现，并通过例子代码加以进一步说明。本书内容全面，结构清晰，讲解详细。可作为技术人员的参考用书。
实用程序育儿法,"[美]
            特蕾西·霍格", 8.5 ,《实用程序育儿法》作者世界闻名的实战型育儿专家特蕾西·霍格(Tracy Hogg)以“宝宝耳语专家(Baby Whisperer)”享誉全球，她深入到数千名宝宝的家里解决宝宝和妈妈面临的日常难题，通过演讲、电台、电视台、信件、电子邮件以及住她的网站上发帖跟她交流、向她请教的妈妈们更是不计其数。由她亲自实景示范拍摄的“和宝宝说悄悄话(Thc Baby Whisperer)”DVD全球发行上千万张。她徂导从宝宝的角度考虑问题，要观察、尊重宝宝，和宝宝沟通一一即使宝宝还不会说话。在《实用程序育儿法》中，她集自己近30年的经验，详细解释了0～3岁宝宝的喂养、睡眠、情感，教育等各方面问题的有效解决方法。
程序员的自我修养,俞甲子, 8.8 ,这本书主要介绍系统软件的运行机制和原理，涉及在Windows和Linux两个系统平台上，一个应用程序在编译、链接和运行时刻所发生的各种事项，包括：代码指令是如何保存的，库文件如何与应用程序代码静态链接，应用程序如何被装载到内存中并开始运行，动态链接如何实现，C/C++运行库的工作原理，以及操作系统提供的系统服务是如何被调用的。每个技术专题都配备了大量图、表和代码实例，力求将复杂的机制以简洁的形式表达出来。本书最后还提供了一个小巧且跨平台的C/C++运行库MiniCRT，综合展示了与运行库相关的各种技术。对装载、链接和库进行了深入浅出的剖析，并且辅以大量的例子和图表，可以作为计算机软件专业和其他相关专业大学本科高年级学生深入学习系统软件的参考书。同时，还可作为各行业从事软件开发的工程师、研究人员以及其他对系统软件实现机制和技术感兴趣者的自学教材。
"""笨办法""学Python","[爱尔兰]
            肖", 8.1 ,本书是一本Python入门书籍，适合对计算机了解不多，没有学过编程，但对编程感兴趣的读者学习使用。这本书以习题的方式引导读者一步一步学习编程，从简单的打印一直讲到完整项目的实现，让初学者从基础的编程技术入手，最终体验到软件开发的基本过程。本书结构非常简单，共包括52个习题，其中26个覆盖了输入/输出、变量和函数三个主题，另外26个覆盖了一些比较高级的话题，如条件判断、循环、类和对象、代码测试及项目的实现等。每一章的格式基本相同，以代码习题开始，按照说明编写代码，运行并检查结果，然后再做附加练习。Zed Shaw完善了这个堪称世上最好的Python学习系统。只要跟着学习，你就会和迄今为止数十万Zed教过的初学者一样获得成功。在这本书中，你将通过完成52个精心设计的习题来学会Python。阅读这些习题，把习题的代码精确地写出来（禁止复制和粘贴！），修正你的错误，观察程序的运行。在这个过程中，你将了解软件是如何工作的，好的程序看起来是什么样子，怎样阅读、编写、思考代码，以及如何用专业程序员的技巧来找出并修正错误。最重要的是，你将学到下面这些编写优秀的Python软件必需的初始技能。这本书会让你的每一分钟投入都有回报。Python是世界上最强大、最受欢迎的编程语言之一，很快你就会成为一名Python程序员。你还可以看Zed的视频！随书附赠的DVD中包含5个多小时激情挥洒的教学内容：一部完整的Python视频教程！
C专家编程,Peter van der Linden, 9.2 ,《C专家编程》展示了最优秀的C程序员所使用的编码技巧，并专门开辟了一章对C++的基础知识进行了介绍。书中C的历史、语言特性、声明、数组、指针、链接、运行时、内存以及如何进一步学习C++等问题进行了细致的讲解和深入的分析。全书撷取几十个实例进行讲解，对C程序员具有非常高的实用价值。本书可以帮助有一定经验的C程序员成为C编程方面的专家，对于具备相当的C语言基础的程序员，本书可以帮助他们站在C的高度了解和学习C++。
机器学习系统设计,"[德]
            Willi Richert", 7.7 ,如今，机器学习正在互联网上下掀起热潮，而Python则是非常适合开发机器学习系统的一门优秀语言。作为动态语言，它支持快速探索和实验，并且针对Python的机器学习算法库的数量也与日俱增。本书最大的特色，就是结合实例分析教会读者如何通过机器学习解决实际问题。本书将向读者展示如何从原始数据中发现模式，首先从Python与机器学习的关系讲起，再介绍一些库，然后就开始基于数据集进行比较正式的项目开发了，涉及建模、推荐及改进，以及声音与图像处理。通过流行的开源库，我们可以掌握如何高效处理文本、图片和声音。同时，读者也能掌握如何评估、比较和选择适用的机器学习技术。举几个例子，我们会介绍怎么把StackOverflow的回答按质量高低进行分类，怎么知道某个音乐文件是爵士风格，还是重金属摇滚风格。另外，本书还涵盖了主题建模、购物习性分析及云计算等高级内容。总之，通过学习本书，读者可以掌握构建自己所需系统的各方面知识，并且学以致用，解决自己面临的现实问题。读者只要具有一定的Python编程经验，能够自己安装和使用开源库，就足够了，即使对机器学习一点了解都没有也没关系。本书不会讲机器学习算法背后的数学。
疯狂的程序员,绝影, 7.9 ,本书描写了绝影等程序员的成长之路，分为大学、工作、创业三部分。作者笔下以绝影、BOSS liu、Bug Yang等为代表的程序员是大多程序员成长的真实写照，很多网友看过小说之后都说“这些事好像就是我身上发生的事情，但是我写不出来，绝影写出来了”。
JavaScript DOM编程艺术,"[英]
            Jeremy Keith", 8.7 ,本书讲述了JavaScript和DOM的基础知识，但重点放在DOM编程技术背后的思路和原则：预留退路、循序渐进和以用户为中心等，这些概念对于任何前端Web开发工作都非常重要。本书将这些概念贯穿在书中的所有代码示例中，使你看到用来创建图片库页面的脚本、用来创建动画效果的脚本和用来丰富页面元素呈现效果的脚本，最后结合所讲述的内容创建了一个实际的网站。本书适合Web设计师和开发人员阅读。
计算机程序设计艺术（第1卷）,"[美]
            Donald E·Knuth", 9.3 ,第1卷首先介绍编程的基本概念和技术，然后详细讲解信息结构方面的内容，包括信息在计算机内部的表示方法、数据元素之间的结构关系，以及有效的信息处理方法。此外，书中还描述了编程在模拟、数值方法、符号计算、软件与系统设计等方面的初级应用。此第3版增加了数十项简单但重要的算法和技术，并根据当前研究发展趋势在数学预备知识方面做了大量修改。
Programming Ruby中文版,"[美]
            托马斯", 8.3 ,《Programming Rudy》(中文版)(第2版)是它的第2版，其中包括超过200页的新内容，以及对原有内容的修订，涵盖了Ruby 1．8中新的和改进的特性以及标准库模块。它不仅是您学习Ruby语言及其丰富特性的一本优秀教程，也可以作为日常编程时类和模块的参考手册。Ruby是一种跨平台、面向对象的动态类型编程语言。Ruby体现了表达的一致性和简单性，它不仅是一门编程语言，更是表达想法的一种简练方式。它不仅受到广大程序员的欢迎，无数的软件大师亦为其倾倒。Programming Rubyr是关于Ruby语言的一本权威著作，也被称为PickAxe Book(镐头书，由封面上的工具得名)。
代码整洁之道,"[美]
            Robert C·Martin", 8.5 ,软件质量，不但依赖于架构及项目管理，而且与代码质量紧密相关。这一点，无论是敏捷开发流派还是传统开发流派，都不得不承认。本书提出一种观念：代码质量与其整洁度成正比。干净的代码，既在质量上较为可靠，也为后期维护、升级奠定了良好基础。作为编程领域的佼佼者，本书作者给出了一系列行之有效的整洁代码操作实践。这些实践在本书中体现为一条条规则（或称“启示”），并辅以来自现实项目的正、反两面的范例。只要遵循这些规则，就能编写出干净的代码，从而有效提升代码质量。本书阅读对象为一切有志于改善代码质量的程序员及技术经理。书中介绍的规则均来自作者多年的实践经验，涵盖从命名到重构的多个编程方面，虽为一“家”之言，然诚有可资借鉴的价值。
MATLAB在数学建模中的应用,卓金武, 8.1 ,《MATLAB在数学建模中的应用》从数学建模的角度介绍了MATLAB的应用。《MATLAB在数学建模中的应用》的4位作者均具有实际的数学建模参赛经历和竞赛指导经验。书中内容完全是根据数学建模竞赛的需要而编排的，涵盖了绝大部分数学建模问题的MATLAB求解方法。《MATLAB在数学建模中的应用》内容分上下两篇。上篇介绍数学建模中常规方法MATLAB的实现，包括MATLAB交互、数据建模、程序绘图、灰色预测、规划模型等方法；还介绍了各种高级方法MATLAB的实现，包括遗传算法、粒子群算法、模拟退火算法、人工神经网络、小波分析、动态仿真、数值模拟等。下篇以真实的数学建模赛题为案例，介绍了如何用MATLAB求解实际的数学建模问题，给出了详细的建模过程和程序。书中的附件部分介绍了作者在建模竞赛中屡获大奖的经验。相信这些经验对准备参加数学建模竞赛的读者会有所帮助。《MATLAB在数学建模中的应用》特别适合作为数学建模竞赛的培训教材或参考用书，也可作为大学“数学实验”和“数学建模”以及“数据挖掘”课程的参考用书，还可以作为广大科研人员、学者、工程技术人员的参考用书。
